ID,Institucion educativa,Ranking institución educativa,Origen institución educativa,Número de créditos programa educativo,nombreareaconocimiento,Metodología programa educativo,Area programa educativo,Periodicidad programa educativo,Numero periodos programa educativo,Titulo egresado,Opiniones institución educativa,Link,image_url
64,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,62,Público,160,Ciencias de la salud,Presencial,Bacteriología,Semestral,10,BACTERIOLOGO Y LABORATORISTA CLINICO,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png
65,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,62,Público,173,Ingeniería arquitectura urbanismo y afines,Presencial,Arquitectura,Semestral,10,CONSTRUCTOR Y GESTOR EN ARQUITECTURA,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png
66,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,62,Público,166,Ciencias sociales y humanas,Presencial,Derecho y afines,Semestral,10,ABOGADO,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png
67,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,62,Público,146,Bellas artes,Presencial,Diseño,Semestral,9,DISEÑADOR DIGITAL Y DE MULTIMEDIA,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png
68,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,62,Público,140,Economía administración contaduría y afines,Presencial,Economía,Semestral,8,ECONOMISTA,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png
69,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,62,Público,150,Ciencias sociales y humanas,Presencial,Sociología trabajo social y afines,Semestral,8,TRABAJADOR SOCIAL,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png
70,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,62,Público,158,Economía administración contaduría y afines,Presencial,Administración,Semestral,8,PROFESIONAL EN TURISMO,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png
71,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,15,Público,160,Economía administración contaduría y afines,Presencial,Administración,Semestral,9,ADMINISTRADOR AMBIENTAL,,https://www.udistrital.edu.co/inicio,https://www.udistrital.edu.co/themes/custom/versh/logo.png
72,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,15,Público,160,Economía administración contaduría y afines,Presencial,Administración,Semestral,10,PROFESIONAL EN ADMINISTRACION DEPORTIVA,,https://www.udistrital.edu.co/inicio,https://www.udistrital.edu.co/themes/custom/versh/logo.png
73,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,15,Público,160,Ciencias sociales y humanas,Presencial,Bibliotecología otros de ciencias sociales y humanas,Semestral,9,PROFESIONAL EN ARCHIVISTICA Y GESTION DE LA INFORMACION DIGITAL,,https://www.udistrital.edu.co/inicio,https://www.udistrital.edu.co/themes/custom/versh/logo.png
