ID,Area programa educativo,Titulo egresado
415,Sin clasificar,PROFESIONAL EN INVESTIGACI¿N CRIMINAL
416,Psicología,PSICOLOGO (A)
417,Psicología,PSICÓLOGO
418,Terapias,TERAPEUTA CARDIORRESPIRATORIO
419,Terapias,TERAPEUTA OCUPACIONAL
420,Administración,ADMINISTRADOR DE EMPRESAS
421,Administración,ADMINISTRADOR (A) DE EMPRESAS
422,Arquitectura,ARQUITECTO
423,Comunicación social periodismo y afines,COMUNICADOR SOCIAL Y PERIODISTA
424,Contaduría pública,CONTADOR(A) PÚBLICO(A)
425,Contaduría pública,CONTADOR PÚBLICO
426,Derecho y afines,ABOGADO
427,Economía,ECONOMISTA
428,Ciencia política relaciones internacionales,PROFESIONAL EN GOBIERNO Y RELACIONES INTERNACIONALES
429,Ingeniería civil y afines,INGENIERO(A) CIVIL
430,Educación,LICENCIADO  (A)   EN  CIENCIAS  SOCIALES
431,Educación,LICENCIADO  (A)   EN  FILOSOFÍA
432,Educación,LICENCIADO (A) EN EDUCACIÓN INFANTIL
433,Educación,LICENCIADO (A) EN HUMANIDADES Y LENGUA CASTELLANA
434,Educación,LICENCIADO (A)  EN LENGUAS MODERNAS CON ÉNFASIS EN INGLÉS
435,Educación,LICENCIADO (A) EN LITERATURA Y LENGUA CASTELLANA
436,Educación,LICENCIADO (A)  EN MATEMÁTICAS
437,Administración,ADMINISTRADOR (A) DE EMPRESAS
438,Sin clasificar,ADMINISTRADOR (A) DE EMPRESAS AGROPECUARIAS
439,Bibliotecología otros de ciencias sociales y humanas,PROFESIONAL EN SISTEMAS DE INFORMACION BIBLIOTECOLOGIA Y ARCHIVISTICA
440,Arquitectura,ARQUITECTO
441,Biología microbiología y afines,BIÓLOGO (A)
442,Contaduría pública,CONTADOR (A) PUBLICO (A)
443,Sin clasificar,DISE¿ADOR INDUSTRIAL
444,Sin clasificar,DISE¿ADOR VISUAL
445,Economía,ECONOMISTA
446,Filosofía teología y afines,PROFESIONAL EN FILOSOFÍA Y LETRAS
447,Economía,PROFESIONAL EN FINANZAS Y COMERCIO INTERNACIONAL
448,Ingeniería ambiental sanitaria y afines,INGENIERO (A) AMBIENTAL Y SANITARIO (A)
449,Ingeniería civil y afines,INGENIERO (A) CIVIL
450,Ingeniería agroindustrial alimentos y afines,INGENIERO DE ALIMENTOS
451,Ingeniería eléctrica y afines,INGENIERO(A) ELECTRICISTA
452,Ingeniería electrónica telecomunicaciones y afines,INGENIERO (A) EN AUTOMATIZACION
453,Ingeniería industrial y afines,INGENIERO (A) INDUSTRIAL
454,Ingeniería química y afines,INGENIERO(A) QUÍMICO(A)
455,Educación,LICENCIADO (A) EN CIENCIAS NATURALES Y EDUCACIÓN AMBIENTAL
456,Educación,LICENCIADO EN EDUCACIÓN BÁSICA PRIMARIA
457,Educación,LICENCIADO(A) EN EDUCACION RELIGIOSA
458,Educación,LICENCIADO(A) EN ESPAÑOL Y LENGUAS EXTRANJERAS CON ÉNFASIS EN ...(ESPAÑOL INGLÉS O FRANCÉS)
459,Educación,LICENCIADO (A) EN LITERATURA Y LENGUA CASTELLANA
460,Medicina veterinaria,MEDICO(A) VETERINARIO(A)
461,Economía,PROFESIONAL EN NEGOCIOS Y RELACIONES INTERNACIONALES
462,Optometría otros programas de ciencias de la salud,OPTÓMETRA
463,Sociología trabajo social y afines,TRABAJADOR (A) SOCIAL
464,Arquitectura,URBANISTA
465,Zootecnia,ZOOTECNISTA
466,Administración,ADMINISTRADOR DE EMPRESAS
467,Contaduría pública,CONTADOR PUBLICO
468,Derecho y afines,ABOGADO
469,Filosofía teología y afines,FILOSOFO
470,Ingeniería ambiental sanitaria y afines,INGENIERO AMBIENTAL
471,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
472,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
473,Ingeniería mecánica y afines,INGENIERO MECANICO
474,Educación,LICENCIADO EN EDUCACIÓN FÍSICA RECREACIÓN Y DEPORTES
475,Educación,LICENCIADO EN EDUCACIÓN INFANTIL
476,Educación,LICENCIADO EN ESPAÑOL Y LENGUAS EXTRANJERAS
477,Administración,PROFESIONAL EN NEGOCIOS INTERNACIONALES
522,Administración,ADMINISTRADOR AMBIENTAL
523,Administración,ADMINISTRADOR DE EMPRESAS
524,Arquitectura,ARQUITECTO
525,Contaduría pública,CONTADOR PUBLICO
526,Diseño,DISEÑADOR DE ESPACIOS Y ESCENARIOS
527,Diseño,DISEÑADOR GRAFICO
528,Economía,ECONOMISTA
529,Ingeniería civil y afines,INGENIERO CIVIL
530,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
531,Ingeniería electrónica telecomunicaciones y afines,INGENIERO DE TELECOMUNICACIONES
532,Ingeniería administrativa y afines,INGENIERO FINANCIERO
533,Otras ingenierías,INGENIERO MECATRONICO
534,Administración,PROFESIONAL EN MARKETING
535,Economía,PROFESIONAL EN NEGOCIOS INTERNACIONALES
536,Psicología,PSICOLOGO (A)
537,Administración,ADMINISTRADOR DE EMPRESAS
538,Economía,PROFESIONAL EN COMERCIO INTERNACIONAL
539,Comunicación social periodismo y afines,COMUNICADOR SOCIAL
540,Contaduría pública,CONTADOR PUBLICO
541,Derecho y afines,ABOGADO (A)
542,Economía,ECONOMISTA
543,Ingeniería ambiental sanitaria y afines,INGENIERO (A) AMBIENTAL
544,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
545,Ingeniería electrónica telecomunicaciones y afines,INGENIERO DE TELECOMUNICACIONES
546,Ingeniería electrónica telecomunicaciones y afines,INGENIERO ELECTRONICO
547,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
548,Administración,PROFESIONAL EN MERCADEO
549,Odontología,ODONTOLOGO
550,Psicología,PSICOLOGO
590,Administración,ADMINISTRADOR DE EMPRESAS
591,Biología microbiología y afines,PROFESIONAL UNIVERSITARIO EN CIENCIAS AMBIENTALES
592,Deportes educación física y recreación,PROFESIONAL EN CIENCIAS DEL DEPORTE
593,Contaduría pública,CONTADOR PUBLICO
594,Derecho y afines,ABOGADO (A)
595,Enfermería,ENFERMERO(A)
596,Administración,PROFESIONAL EN FINANZAS
597,Ingeniería agronómica pecuaria y afines,INGENIERO AGRONOMO
598,Ingeniería administrativa y afines,INGENIERO COMERCIAL
599,Ingeniería ambiental sanitaria y afines,INGENIERO GEÓGRAFO Y AMBIENTAL
600,Medicina,MEDICO
601,Medicina veterinaria,MEDICO VETERINARIO
602,Medicina veterinaria,MEDICO VETERINARIO  ZOOTECNISTA
603,Administración,PROFESIONAL UNIVERSITARIO EN MERCADEO
604,Administración,PROFESIONAL EN NEGOCIOS INTERNACIONALES
605,Química y afines,QUÍMICO
606,Química y afines,QUÍMICO FARMACÉUTICO
607,Zootecnia,ZOOTECNISTA
608,Administración,ADMINISTRADOR DE EMPRESAS
609,Salud pública,ADMINISTRADOR EN SALUD
610,Artes plásticas visuales y afines,MAESTRO EN ARTES VISUALES
611,Ciencia política relaciones internacionales,POLITÓLOGO(A)
612,Comunicación social periodismo y afines,COMUNICADOR SOCIAL
613,Contaduría pública,CONTADOR PÚBLICO
614,Sin clasificar,ABOGADA(O)
615,Diseño,DISEÑADOR INDUSTRIAL
616,Economía,ECONOMISTA
617,Filosofía teología y afines,FILOSOFO
618,Sociología trabajo social y afines,PROFESIONAL EN GESTIÓN DEPORTIVA
619,Ingeniería agroindustrial alimentos y afines,INGENIERO DE ALIMENTOS
620,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
621,Ingeniería electrónica telecomunicaciones y afines,INGENIERO DE TELECOMUNICACIONES
622,Ingeniería electrónica telecomunicaciones y afines,INGENIERO ELECTRONICO
623,Ingeniería industrial y afines,INGENIERO INDUSTRIAL.
624,Ingeniería de sistemas telemática y afines,INGENIERO MULTIMEDIA
625,Educación,LICENCIADO(A) EN LENGUAS EXTRANJERAS CON ÉNFASIS EN INGLÉS
626,Educación,LICENCIADO(A) EN MATEMÁTICAS
627,Educación,LICENCIADO (A) EN PEDAGOGÍA INFANTIL.
628,Música,MAESTRO EN MUSICA
629,Sin clasificar,PROFESIONAL EN NEGOCIOS INTERNACIONALES
630,Psicología,PSICOLOGO
631,Sociología trabajo social y afines,SOCIÓLOGO
632,Zootecnia,ZOOTECNISTA
633,Administración,ADMINISTRADOR PUBLICO
634,Administración,ADMINISTRADOR DE SERVICIOS DE SALUD
635,Enfermería,ENFERMERA(O)
636,Terapias,FISIOTERAPEUTA
637,Instrumentación quirúrgica,INSTRUMENTADOR QUIRURGICO
638,Medicina,MEDICO
639,Psicología,PSICÓLOGO
640,Administración,ADMINISTRADOR DE EMPRESAS
641,Administración,ADMINISTRADOR DE NEGOCIOS INTERNACIONALES
642,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
643,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
644,Administración,PROFESIONAL EN MERCADEO
645,Matemáticas estadística y afines,MATEMATICO
646,Psicología,PSICOLOGO
647,Administración,ADMINISTRADOR DE EMPRESAS
648,Sin clasificar,ADMINISTRADOR LOG¿STICO
649,Administración,PROFESIONAL EN ADMINISTRACION TURISTICA Y HOTELERA
